marker_count	marker	total_combinations	zero_count	min_one_count	min_two_count
5	snpPG00071	17578	1830	15748	10617
5	snpPG00098	17578	1831	15747	10749
5	snpPG00078	17578	1759	15819	10764
5	snpPG00048	17578	1708	15870	10815
5	snpPG00088	17578	1705	15873	10826
6	snpPG00071	17578	1074	16504	12834
6	snpPG00078	17578	1023	16555	12911
6	snpPG00048	17578	981	16597	12965
6	snpPG00098	17578	1079	16499	12977
6	snpPG00088	17578	999	16579	12980
6	snpPG00050	17578	1067	16511	13013
7	snpPG00071	17578	708	16870	14315
7	snpPG00098	17578	689	16889	14353
7	snpPG00050	17578	718	16860	14404
7	snpPG00078	17578	677	16901	14427
7	snpPG00088	17578	639	16939	14429
7	snpPG00048	17578	616	16962	14490
7	snpPG00067	17578	628	16950	14495
8	snpPG00071	17578	457	17121	15313
8	snpPG00098	17578	459	17119	15369
8	snpPG00050	17578	484	17094	15385
8	snpPG00078	17578	438	17140	15404
8	snpPG00088	17578	426	17152	15439
8	snpPG00048	17578	397	17181	15441
8	snpPG00067	17578	434	17144	15444
8	snpPG00076	17578	424	17154	15447
9	snpPG00071	17578	307	17271	15968
9	snpPG00098	17578	312	17266	16005
9	snpPG00050	17578	336	17242	16014
9	snpPG00048	17578	271	17307	16045
9	snpPG00078	17578	299	17279	16046
9	snpPG00076	17578	290	17288	16064
9	snpPG00067	17578	282	17296	16077
9	snpPG00088	17578	279	17299	16094
9	snpPG00075	17578	293	17285	16110
10	snpPG00071	17578	235	17343	16421
10	snpPG00050	17578	272	17306	16445
10	snpPG00078	17578	222	17356	16464
10	snpPG00098	17578	235	17343	16480
10	snpPG00048	17578	218	17360	16493
10	snpPG00076	17578	214	17364	16500
10	snpPG00088	17578	208	17370	16507
10	snpPG00067	17578	219	17359	16510
10	snpPG00075	17578	228	17350	16511
10	snpPG00090	17578	201	17377	16517
11	snpPG00050	17578	205	17373	16733
11	snpPG00071	17578	173	17405	16741
11	snpPG00098	17578	175	17403	16761
11	snpPG00078	17578	158	17420	16763
11	snpPG00088	17578	157	17421	16782
11	snpPG00075	17578	173	17405	16787
11	snpPG00048	17578	158	17420	16789
11	snpPG00076	17578	164	17414	16795
11	snpPG00067	17578	174	17404	16804
11	snpPG00090	17578	152	17426	16806
11	snpPG00096	17578	165	17413	16811
12	snpPG00050	17578	163	17415	16928
12	snpPG00071	17578	124	17454	16936
12	snpPG00098	17578	142	17436	16956
12	snpPG00076	17578	133	17445	16972
12	snpPG00090	17578	116	17462	16976
12	snpPG00075	17578	142	17436	16984
12	snpPG00078	17578	124	17454	16985
12	snpPG00088	17578	124	17454	16986
12	snpPG00048	17578	120	17458	16993
12	snpPG00067	17578	147	17431	16994
12	snpPG00096	17578	130	17448	17000
12	snpPG00062	17578	128	17450	17004
13	snpPG00050	17578	132	17446	17053
13	snpPG00071	17578	101	17477	17072
13	snpPG00098	17578	112	17466	17090
13	snpPG00078	17578	98	17480	17094
13	snpPG00062	17578	106	17472	17102
13	snpPG00076	17578	112	17466	17105
13	snpPG00075	17578	123	17455	17107
13	snpPG00067	17578	119	17459	17110
13	snpPG00096	17578	104	17474	17111
13	snpPG00088	17578	97	17481	17114
13	snpPG00048	17578	96	17482	17117
13	snpPG00090	17578	94	17484	17120
13	snpPG00068	17578	105	17473	17140
